NotORM       | NotORM: dev-master | Time:  0.522 s | Memory:  4.0 MB | PHP: 5.6.99-hhvm
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.087 s | Memory:  6.0 MB | PHP: 5.6.99-hhvm
Doctrine2    | Doctrine: 2.4.2 | Time:  3.538 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NDB 2.0      | Nette: 2.0.18   | Time: 12.922 s | Memory: 18.3 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.146 s | Memory: 17.2 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.123 s | Memory: 16.9 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.263 s | Memory: 19.1 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.225 s | Memory: 19.1 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.640 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.166 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time: 16.805 s | Memory: 37.2 MB | PHP: 5.6.5


NDB 2.0      | Nette: 2.0.18   | Time: 14.087 s | Memory: 15.8 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.190 s | Memory: 14.6 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.202 s | Memory: 14.3 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.289 s | Memory: 16.6 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.269 s | Memory: 16.6 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.864 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.065 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time:  5.169 s | Memory: 35.2 MB | PHP: 5.6.5



NDB 2.0      | Nette: 2.0.18   | Time: 12.766 s | Memory: 18.2 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.131 s | Memory: 17.1 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.108 s | Memory: 16.8 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.273 s | Memory: 19.1 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.208 s | Memory: 19.1 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  4.473 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.126 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time: 17.310 s | Memory: 37.1 MB | PHP: 5.4.37


NDB 2.0      | Nette: 2.0.18   | Time: 13.838 s | Memory: 15.7 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.080 s | Memory: 14.6 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.059 s | Memory: 14.3 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.168 s | Memory: 16.5 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.160 s | Memory: 16.5 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  4.401 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.099 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time:  5.520 s | Memory: 35.1 MB | PHP: 5.4.37



NDB 2.0      | Nette: 2.0.18   | Time: 15.194 s | Memory: 18.2 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.272 s | Memory: 17.2 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.267 s | Memory: 16.9 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.334 s | Memory: 19.1 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.351 s | Memory: 19.1 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  5.417 s | Memory: 13.1 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.295 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time: 17.680 s | Memory: 37.1 MB | PHP: 5.5.21


NDB 2.0      | Nette: 2.0.18   | Time: 14.705 s | Memory: 15.7 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.221 s | Memory: 14.6 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.181 s | Memory: 14.3 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.347 s | Memory: 16.5 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.297 s | Memory: 16.5 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  5.163 s | Memory: 13.1 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.189 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time:  5.604 s | Memory: 35.1 MB | PHP: 5.5.21



NDB 2.0      | Nette: 2.0.18   | Time:  2.794 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.1      | Nette: 2.1.9    | Time:  1.348 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.2      | NDB: ~2.2.0     | Time:  1.320 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.3      | NDB: ~2.3.0     | Time:  1.499 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.369 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NotORM       | NotORM: dev-master | Time:  0.633 s | Memory:  4.0 MB | PHP: 5.6.99-hhvm
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.307 s | Memory:  6.0 MB | PHP: 5.6.99-hhvm
Doctrine2    | Doctrine: 2.4.2 | Time: 19.276 s | Memory: 12.0 MB | PHP: 5.6.99-hhvm


NDB 2.0      | Nette: 2.0.18   | Time:  2.534 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.1      | Nette: 2.1.9    | Time:  1.092 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.2      | NDB: ~2.2.0     | Time:  1.085 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.3      | NDB: ~2.3.0     | Time:  1.227 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.211 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NotORM       | NotORM: dev-master | Time:  0.592 s | Memory:  4.0 MB | PHP: 5.6.99-hhvm
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.080 s | Memory:  6.0 MB | PHP: 5.6.99-hhvm
Doctrine2    | Doctrine: 2.4.2 | Time:  3.681 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm




Fatal error: Call to undefined function set_magic_quotes_runtime() in /home/travis/build/minetro/db-benchmark/libs/NDB2.0/vendor/nette/nette/Nette/loader.php on line 25
NDB 2.1      | Nette: 2.1.9    | Time:  0.389 s | Memory: 12.0 MB | PHP: 7.0.0-dev
NDB 2.2      | NDB: ~2.2.0     | Time:  0.376 s | Memory: 11.8 MB | PHP: 7.0.0-dev
NDB 2.3      | NDB: ~2.3.0     | Time:  0.436 s | Memory: 13.3 MB | PHP: 7.0.0-dev
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  0.415 s | Memory: 13.3 MB | PHP: 7.0.0-dev
NotORM       | NotORM: dev-master | Time:  0.420 s | Memory:  7.9 MB | PHP: 7.0.0-dev
LeanMapper   | LeanMapper: ~2.1.0 | Time:  0.332 s | Memory:  9.6 MB | PHP: 7.0.0-dev
Doctrine2    | Doctrine: 2.4.2 | Time: 15.254 s | Memory: 24.4 MB | PHP: 7.0.0-dev



Fatal error: Call to undefined function set_magic_quotes_runtime() in /home/travis/build/minetro/db-benchmark/libs/NDB2.0/vendor/nette/nette/Nette/loader.php on line 25
NDB 2.1      | Nette: 2.1.9    | Time:  0.329 s | Memory: 11.3 MB | PHP: 7.0.0-dev
NDB 2.2      | NDB: ~2.2.0     | Time:  0.307 s | Memory: 11.1 MB | PHP: 7.0.0-dev
NDB 2.3      | NDB: ~2.3.0     | Time:  0.365 s | Memory: 12.5 MB | PHP: 7.0.0-dev
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  0.346 s | Memory: 12.5 MB | PHP: 7.0.0-dev
NotORM       | NotORM: dev-master | Time:  0.406 s | Memory:  7.9 MB | PHP: 7.0.0-dev
LeanMapper   | LeanMapper: ~2.1.0 | Time:  0.290 s | Memory:  9.6 MB | PHP: 7.0.0-dev
Doctrine2    | Doctrine: 2.4.2 | Time:  3.079 s | Memory: 23.2 MB | PHP: 7.0.0-dev



NDB 2.0      | Nette: 2.0.18   | Time: 15.390 s | Memory: 18.3 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.352 s | Memory: 17.2 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.341 s | Memory: 16.9 MB | PHP: 5.6.5
